Store Name,Review Text,Percent Negative,Percent Positive,Percent Neutral, Compound
"Red, White & Chew","Oh my God, Red, White & Chew was truly amazing. The atmosphere in this place is so welcoming. Every thing was extremely flavorful and flavorful. The working...",0.0,35.3,64.7,0.9107
"Red, White & Chew","Red, White, and Chew is all about two things: tasty pizza and putting tiny U.S. flags on tasty pizzas.  It just so happens that I love tasty pizzas and I...",0.0,12.7,87.3,0.6369
"Red, White & Chew","I'll admit, I'm a pizza-holic.  While I do prefer the authentic stuff, I'm willing to go for a low-end chain restaurant as well.  I was excited to see that...",0.0,19.5,80.5,0.6486
Little Habana,"Ya'll better come to Little Habana and get you a Cuban sandwich!! Cuban Sandwich was really good. The bread crispy and toasty, the roasted pork was roastin,...",0.0,21.099999999999998,78.9,0.7702
Little Habana,"One of only maybe 2-3 Puerto Rican / Cuban / Dominican places in El Paso, so it's worth a try. 

Cubanos are good, and the main reason I went. But the Cuban...",0.0,10.6,89.4,0.3693
Little Habana,"I stayed across the street at Home2Suites. I didn't feel like going far for dinner, and this was a great choice! 
This is a family run establishment and...",6.5,13.5,80.0,0.5076
Pop’s Pizza,"Not NY pizza, just typical dominos, papa John's etc. type beat. Service was great, the kids are cute. Came with pepper flakes and parm packets. Crust was...",0.0,22.1,77.9,0.7964
Pop’s Pizza,"El Paso's Holy Grail of Pizza Quest 1:

Pop's Pizza
12300 Pellicano Drive Suite C

Located on Pellicano just off Loop 375. My daughter said the font of the...",0.0,0.0,100.0,0.0
Pop’s Pizza,Great pizza & service for SUPER cheap! Ordered over the phone and it was ready in abt 15 min! Didn't eat in but loved the drive-thru feature :),0.0,42.6,57.4,0.952
JV's Pizza,"To say their crust is amazing is an understatement. Damn, you take a bite and the crust melts in your mouth. Crunchy on the outside and so soft on the...",7.8,11.0,81.2,0.2732
JV's Pizza,Prices are fair and I think that is the strong suit for JV. Not the worst pizza in the world but the land of little Caesar's and Dominos you gotta come with...,0.0,17.0,83.0,0.6055
JV's Pizza,"Wow!!!! Hits right on the spot!! Ordered a all meats pizza and let me tell you crust, taste of meats, seasoning, smell was great!!!! Service was also...",0.0,26.6,73.4,0.877
La Toscana,Extremely bad service at the Ejército Nacional location we were ignored by staff members and our pizza never arrived we decided to leave and asked for the...,23.3,0.0,76.7,-0.7425
La Toscana,I don't know what we were expecting when we came across this place walking around but what we got was definitely more than we expected. This place is a hole...,0.0,10.9,89.1,0.5499
La Toscana,Best pizza I have ever had! The drinks were served in mason jars and looked amazing. They offer valet parking and the service was amazing. I will never look...,0.0,31.7,68.30000000000001,0.92
Marco's Pizza,"Tried Marcos for the first time and it's a good spot for pizza if you're looking to try something new. 

We ordered a couple pies along with a steak...",0.0,9.4,90.60000000000001,0.4404
Marco's Pizza,"Marco's has become our favorite choice for our sandwiches, wings and pizza. The service is also great the staff is very professional and kind.  Awesome food...",0.0,40.300000000000004,59.699999999999996,0.9419
Marco's Pizza,I absolutely love this food. The manager Isaac is a stud that leads with an iron fist makes my mouth water and I can't wait for him to toss my pizza next...,0.0,12.7,87.3,0.6697
House of Taste,I have been driving by this restaurant for quite some time and there are never any cars in the parking lot. We will get back to that I finally heard a good...,0.0,8.6,91.4,0.4404
House of Taste,I had high hopes for this restaurant. The review here and other social media were all very good. I called to order take out. They told me it would be ready...,0.0,23.3,76.7,0.8173
House of Taste,this place just keeps getting better and better. i thought the subburger was best kept secret in el paso. out of the blue i tried the chef salad and it is...,0.0,26.3,73.7,0.875
The Shack Slice & Brew,"Stopped in for lunch yesterday,  and enjoyed their Thursday special: $8 for up to 3 topping personal pizza.  
I'm not gonna lie, I was a little nervous when...",11.0,17.8,71.2,0.5095
The Shack Slice & Brew,"I ordered a pizza from here while on the road and was very happy with it. 

The quality of the ingredients was good, and the pizza was well topped. It...",0.0,25.0,75.0,0.8399
The Shack Slice & Brew,"If you're interested, my initial review on yelp was a 5 star. I've visited this place multiple times since my initial visit. After today, I will no longer...",7.1,8.7,84.1,0.128
Marco's Pizza,"The pizza crust is especially delicious and they don't scrimp on the toppings. For the price, they are my favorite place to get pizza. Their online app is...",0.0,21.2,78.8,0.7902
Marco's Pizza,"Hot, fresh and fast. Not Brooklyn pizza, but if you need good local delivery, Marco's can take care of your cravings.
They are using two kinds of pepperoni...",0.0,28.199999999999996,71.8,0.8689
Marco's Pizza,Delicious!! Hit and fast delivery and the pies were so good!!! Will order again.  We got a supreme and a cheese.,0.0,40.400000000000006,59.599999999999994,0.9218
Humo Woodfire Oven Kitchen,"TRhis Altamente RecomendableThisTThis place wa amazing
It's a little Jewel in the desert.",0.0,35.3,64.7,0.719
Humo Woodfire Oven Kitchen,Nice spot with a pretty diverse menu to choose from. We dropped by on Sunday after church and were advised of the Brunch menu that was available for the...,0.0,18.2,81.8,0.7184
Humo Woodfire Oven Kitchen,"We are passing through Texas and El Paso was our 2nd stop. We wanted pizza in a chill environment and we found the perfect place. When we entered, there was...",6.5,10.9,82.6,0.3612
Cafe Italia,"Service is super attentive
Food is excellent EVERY SINGLE TIME (I go there every Friday)
 Ambiance is nice.",0.0,40.9,59.099999999999994,0.886
Cafe Italia,"Cute place, nice ambiance, outdoor patio, and fast service. 
The bread is hot from the oven and so tasty. Portions are substantial. The only criticism I...",8.9,23.400000000000002,67.7,0.5719
Cafe Italia,"I love it!! To start, the bread was stuffed with flavor, and the Antipasto was good! Our waiter was pretty nice. They make their pizza ingredients in-store....",0.0,37.8,62.2,0.9322
Pizza Pro's,"Pizza and wings are always good. Cheap prices. Customer service is a hit or miss, but overall we recommend",5.800000000000001,23.1,71.1,0.5994
Pizza Pro's,"Their pizza's & wings are delicious!!! Definitely ordering from here again. Got two large pizza's, one cheese & the other pepperoni/mushroom. The perfect...",0.0,35.4,64.60000000000001,0.8996
Pizza Pro's,"This pizza is sooo good, freshly baked as well. It's a bit doughy but overall pretty good! The wings are the BEST they have very yummy flavor and are cooked...",0.0,49.9,50.1,0.9773
Trattoria Bella Sera,"If I could rate this a 6/5 instead of a 5/5, I would.
I will just get my main points across:
Super friendly servers
Fast service
Great food
Beautiful...",0.0,37.7,62.3,0.9442
Trattoria Bella Sera,Delicious food. We always feel like family when we eat here. The restaurant is beautiful. Friendly service and staff.,0.0,47.0,53.0,0.9231
Trattoria Bella Sera,"Excellent food and service. Love their tomato-basil soup, bread, and ANY main dish...as long as it's Baked! Owner is usually around to greet and direct....",0.0,32.300000000000004,67.7,0.8883
House of Pizza,Best in town guaranteed!!!  Love the food atmosphere and staff. Only issue is only cash.,0.0,41.6,58.4,0.8827
House of Pizza,"Bring Cash!!
Great food portions for the price! Tried the House Special Pizza which had a crunchy crust and the toppings were amazing, but the bottom of the...",0.0,23.5,76.5,0.7701
House of Pizza,"Just called to the one on Piedras to ask for hours, since here it says till 6 pm and I went last Friday at 4 pm.  Anyways when I asked for hours, she said...",0.0,0.0,100.0,0.0
St Augustine Artisan+craft Beer,Great quality ingredients and very delicious pizza. I've had several of their pizzas on the menu and loved every single one of them. Will definitely go back,0.0,39.0,61.0,0.9402
St Augustine Artisan+craft Beer,"Best pizza and service
Chill place to go for a talk 
Perfect for a date or to chill with friends",0.0,39.300000000000004,60.699999999999996,0.9001
St Augustine Artisan+craft Beer,"First the atmosphere: it seems as though the air conditioner is broke, it was VERY hot inside - even more hot than outside because of the wood fire grill....",16.1,0.0,83.89999999999999,-0.6369
